experiment_id,date,model,model_family,main_model_file,main_quant,mmproj_file,mmproj_quant,input_type,dataset_split,num_images,per_class,prompt_file,ctx,ngl,max_tokens,temp,fit,no_mmproj_offload,power_mode,jetson_clocks,accuracy,macro_f1,invalid_count,invalid_rate,avg_wall_s,median_wall_s,p95_wall_s,avg_mtmd_encode_ms,p95_mtmd_encode_ms,tegrastats_log,tegrastats_samples,avg_ram_mb,peak_ram_mb,ram_total_mb,avg_swap_mb,peak_swap_mb,swap_total_mb,avg_gpu_util_pct,peak_gpu_util_pct,avg_cpu_util_pct,peak_cpu_util_pct,avg_power_w,peak_power_w,cold_start_j_per_image,avg_temp_c,peak_temp_c,notes
llava15_7b_q4_cli_balanced_95,2026-07-14,LLaVA-1.5-7B,LLaVA,models/llava-v1.5-7b-second-state/llava-v1.5-7b-Q4_K_M.gguf,Q4_K_M,models/llava-v1.5-7b-second-state/llava-v1.5-7b-mmproj-model-f16.gguf,F16,full_image,HaGRID_day1_balanced,95,5,,2048,10,8,0,off,True,15W,True,0.1158,0.059,14,0.1474,3.719,3.7838,3.8431,,,,,,,,,,,,,,,,,,,,"LLaVA Q4 CLI-per-image baseline, 95-image balanced set"
qwen3v14b_f16_l40s_95,2026-07-14,Qwen3-VL-4B-Instruct,Qwen3-VL,models/qwen3-vl-4b-instruct-gguf/Qwen3VL-4B-Instruct-F16.gguf,F16,models/qwen3-vl-4b-instruct-gguf/mmproj-Qwen3VL-4B-Instruct-Q8_0.gguf,Q8_0,full_image,HaGRID_day1_balanced,95,5,prompts/qwen_hagrid_label.txt,1024,999,16,0,off,True,L40S,,0.6842,0.6242,0,0.0,3.5255,3.5128,3.7527,1070.74,1205.0,,,,,,,,,,,,,,,,,,Qwen3-VL F16 reference run on L40S server
qwen3vl4b_q4_cli_balanced_95,2026-07-14,Qwen3-VL-4B-Instruct,Qwen3-VL,models/qwen3-vl-4b-instruct-gguf/Qwen3VL-4B-Instruct-Q4_K_M.gguf,Q4_K_M,models/qwen3-vl-4b-instruct-gguf/mmproj-Qwen3VL-4B-Instruct-Q8_0.gguf,Q8_0,full_image,HaGRID_day1_balanced,95,5,prompts/qwen_hagrid_label.txt,1024,10,16,0,off,True,15W,True,0.6211,0.5651,0,0.0,13.7902,13.689,14.0068,8312.23,8562.0,results/logs/tegrastats_qwen3vl4b_q4_cli_balanced_95.txt,1340,3981.97,4318.0,7485.0,,,,13.22,99.0,65.39,100.0,7.6925,8.924,106.0811,51.75,53.62,"Qwen3-VL Q4_K_M CLI-per-image run, 95-image balanced set"
qwen3vl4b_self_q4_k_m_mmprojq8_95,2026-07-14,Qwen3-VL-4B-Instruct,Qwen3-VL,models/qwen3-vl-4b-custom-quants/Qwen3VL-4B-Instruct-Q4_K_M-self.gguf,Q4_K_M,models/qwen3-vl-4b-instruct-gguf/mmproj-Qwen3VL-4B-Instruct-Q8_0.gguf,Q8_0,full_image,HaGRID_day1_balanced,95,5,prompts/qwen_hagrid_label.txt,1024,10,16,0,off,True,15W,True,0.5895,0.5339,0,0.0,13.4673,13.5132,13.9247,8337.98,8623.0,results/logs/tegrastats_qwen3vl4b_q4_cli_balanced_95.txt,1340,3981.97,4318.0,7485.0,,,,13.22,99.0,65.39,100.0,7.6925,8.924,103.5972,51.75,53.62,"Qwen3-VL Q4_K_M CLI-per-image run, 95-image balanced set"
qwen3vl4b_self_q5_k_m_mmprojq8_95,2026-07-14,Qwen3-VL-4B-Instruct,Qwen3-VL,models/qwen3-vl-4b-custom-quants/Qwen3VL-4B-Instruct-Q5_K_M-self.gguf,Q5_K_M,models/qwen3-vl-4b-instruct-gguf/mmproj-Qwen3VL-4B-Instruct-Q8_0.gguf,Q8_0,full_image,HaGRID_day1_balanced,95,5,prompts/qwen_hagrid_label.txt,1024,10,16,0,off,True,15W,True,0.6737,0.6053,0,0.0,14.3911,14.4231,14.9889,8529.23,8796.0,results/logs/tegrastats_qwen3vl4b_q5km_95.txt,1386,3779.36,4076.0,7485.0,,,,11.38,99.0,65.58,100.0,7.8628,9.24,113.1543,52.42,54.34,"Qwen3-VL Q5_K_M CLI-per-image run, 95-image balanced set"
qwen3vl4b_self_q8_0_mmprojq8_95,2026-07-14,Qwen3-VL-4B-Instruct,Qwen3-VL,models/qwen3-vl-4b-custom-quants/Qwen3VL-4B-Instruct-Q8_0-self.gguf,Q8_0,models/qwen3-vl-4b-instruct-gguf/mmproj-Qwen3VL-4B-Instruct-Q8_0.gguf,Q8_0,full_image,HaGRID_day1_balanced,95,5,prompts/qwen_hagrid_label.txt,1024,10,16,0,off,True,15W,True,0.6737,0.6092,0,0.0,21.7692,19.5299,30.6931,8618.04,8957.0,results/logs/tegrastats_qwen3vl4b_q8_95.txt,2089,3769.92,4354.0,7485.0,,,,8.0,99.0,51.76,100.0,7.1271,9.042,155.1513,52.15,54.03,"Qwen3-VL Q8_0 CLI-per-image run, 95-image balanced set"
