07-31-2026 16:03:05 RAM 5210/7485MB (lfb 4x1MB) CPU [41%@1510,35%@1510,8%@1510,11%@1510,49%@1510,34%@1510] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[624] NVDEC0 off NVJPG0 off NVJPG1 off VIC off OFA off APE 200 cpu@52.25C/52.5C soc2@52.531C/52.875C soc0@50.562C/50.968C gpu@52.281C/52.843C tj@52.562C/53.031C soc1@52.5C/52.937C VDD_IN 6031mW/5175mW/6031mW VDD_CPU_GPU_CV 1624mW/1034mW/1624mW VDD_SOC 1465mW/1406mW/1507mW
07-31-2026 16:03:06 RAM 5207/7485MB (lfb 3x1MB) CPU [26%@1344,25%@1344,6%@1344,69%@1344,35%@729,0%@729] EMC_FREQ 5%@2133 GR3D_FREQ 5%@[624] NVDEC0 off NVJPG0 off NVJPG1 off VIC off OFA off APE 200 cpu@52.156C/52.5C soc2@52.593C/52.875C soc0@50.593C/50.968C gpu@52.218C/52.843C tj@52.625C/53.031C soc1@52.625C/52.937C VDD_IN 5952mW/5235mW/6031mW VDD_CPU_GPU_CV 1426mW/1064mW/1624mW VDD_SOC 1545mW/1417mW/1545mW
07-31-2026 16:03:07 RAM 5754/7485MB (lfb 2x1MB) CPU [38%@1510,7%@1510,6%@1510,41%@1510,19%@729,26%@729] EMC_FREQ 8%@2133 GR3D_FREQ 8%@[624] NVDEC0 off NVJPG0 off NVJPG1 off VIC off OFA off APE 200 cpu@51.875C/52.5C soc2@52.625C/52.875C soc0@50.437C/50.968C gpu@52.468C/52.843C tj@52.625C/53.031C soc1@52.625C/52.937C VDD_IN 6576mW/5331mW/6576mW VDD_CPU_GPU_CV 1779mW/1115mW/1779mW VDD_SOC 1624mW/1432mW/1624mW
07-31-2026 16:03:08 RAM 6107/7485MB (lfb 1x256kB) CPU [8%@729,11%@729,0%@729,57%@729,11%@729,10%@729] EMC_FREQ 10%@2133 GR3D_FREQ 0%@[624] NVDEC0 off NVJPG0 off NVJPG1 off VIC off OFA off APE 200 cpu@51.75C/52.5C soc2@52.562C/52.875C soc0@50.531C/50.968C gpu@52.437C/52.843C tj@52.593C/53.031C soc1@52.593C/52.937C VDD_IN 6734mW/5424mW/6734mW VDD_CPU_GPU_CV 1858mW/1165mW/1858mW VDD_SOC 1661mW/1447mW/1661mW
07-31-2026 16:03:09 RAM 6111/7485MB (lfb 1x4MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,2%@729] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[624] NVDEC0 off NVJPG0 off NVJPG1 off VIC off OFA off APE 200 cpu@51.656C/52.5C soc2@52.375C/52.875C soc0@50.437C/50.968C gpu@52.468C/52.843C tj@52.468C/53.031C soc1@52.468C/52.937C VDD_IN 4744mW/5382mW/6734mW VDD_CPU_GPU_CV 756mW/1139mW/1858mW VDD_SOC 1355mW/1441mW/1661mW
07-31-2026 16:03:10 RAM 6123/7485MB (lfb 1x4MB) CPU [4%@729,3%@729,1%@729,2%@729,0%@729,0%@729] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[624] NVDEC0 off NVJPG0 off NVJPG1 off VIC off OFA off APE 200 cpu@51.5C/52.5C soc2@52.343C/52.875C soc0@50.343C/50.968C gpu@52.093C/52.843C tj@52.437C/53.031C soc1@52.437C/52.937C VDD_IN 4625mW/5337mW/6734mW VDD_CPU_GPU_CV 716mW/1114mW/1858mW VDD_SOC 1353mW/1436mW/1661mW
07-31-2026 16:03:11 RAM 6123/7485MB (lfb 1x4MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[624] NVDEC0 off NVJPG0 off NVJPG1 off VIC off OFA off APE 200 cpu@51.406C/52.5C soc2@52.312C/52.875C soc0@50.281C/50.968C gpu@52.25C/52.843C tj@52.375C/53.031C soc1@52.375C/52.937C VDD_IN 4552mW/5294mW/6734mW VDD_CPU_GPU_CV 678mW/1090mW/1858mW VDD_SOC 1317mW/1430mW/1661mW
07-31-2026 16:03:12 RAM 6123/7485MB (lfb 1x4MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[624] NVDEC0 off NVJPG0 off NVJPG1 off VIC off OFA off APE 200 cpu@51.468C/52.5C soc2@52.125C/52.875C soc0@50.281C/50.968C gpu@51.937C/52.843C tj@52.312C/53.031C soc1@52.312C/52.937C VDD_IN 4552mW/5255mW/6734mW VDD_CPU_GPU_CV 678mW/1068mW/1858mW VDD_SOC 1317mW/1424mW/1661mW
07-31-2026 16:03:13 RAM 6123/7485MB (lfb 1x4MB) CPU [1%@729,3%@729,3%@729,2%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[624] NVDEC0 off NVJPG0 off NVJPG1 off VIC off OFA off APE 200 cpu@51.343C/52.5C soc2@52.156C/52.875C soc0@50.187C/50.968C gpu@51.968C/52.843C tj@52.281C/53.031C soc1@52.281C/52.937C VDD_IN 4585mW/5221mW/6734mW VDD_CPU_GPU_CV 717mW/1051mW/1858mW VDD_SOC 1315mW/1418mW/1661mW
07-31-2026 16:03:14 RAM 6123/7485MB (lfb 1x4MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[624] NVDEC0 off NVJPG0 off NVJPG1 off VIC off OFA off APE 200 cpu@51.562C/52.5C soc2@52.062C/52.875C soc0@50.187C/50.968C gpu@52.062C/52.843C tj@52.218C/53.031C soc1@52.218C/52.937C VDD_IN 4552mW/5189mW/6734mW VDD_CPU_GPU_CV 677mW/1033mW/1858mW VDD_SOC 1317mW/1413mW/1661mW
