model,quantization,dataset,image_resolution_px,num_classes,images_per_class,images_evaluated,valid_responses,invalid_responses,errors_or_timeouts,exact_correct,exact_accuracy_pct,macro_f1,macro_f1_pct,gesture_family_correct,gesture_family_accuracy_pct,gesture_family_grouping_rule,avg_wall_latency_s,median_wall_latency_s,p95_wall_latency_s,max_wall_latency_s,avg_server_latency_s,avg_client_http_overhead_s,wall_throughput_images_per_s,server_throughput_images_per_s,total_measured_wall_time_s,avg_prompt_time_ms,avg_generation_time_ms,avg_generated_tokens,generated_2_token_responses,generated_3_token_responses,generated_4_token_responses,generated_5_token_responses,avg_gpu_util_pct,pct_samples_gpu_at_least_90,peak_gpu_util_pct,avg_emc_util_pct,avg_cpu_util_per_core_pct,avg_busiest_core_util_pct,peak_single_core_util_pct,ram_total_mb,avg_ram_used_mb,peak_ram_used_mb,minimum_free_ram_mb,avg_board_power_w,peak_board_power_w,idle_board_power_w,estimated_total_board_energy_wh,estimated_energy_j_per_image,incremental_energy_j_per_image_above_idle,avg_gpu_temperature_c,peak_gpu_temperature_c,peak_cpu_temperature_c,top_10_confusions,class_accuracy_call_pct,class_accuracy_no_gesture_pct,class_accuracy_dislike_pct,class_accuracy_fist_pct,class_accuracy_four_pct,class_accuracy_like_pct,class_accuracy_mute_pct,class_accuracy_ok_pct,class_accuracy_one_pct,class_accuracy_palm_pct,class_accuracy_peace_pct,class_accuracy_peace_inverted_pct,class_accuracy_rock_pct,class_accuracy_stop_pct,class_accuracy_stop_inverted_pct,class_accuracy_three_pct,class_accuracy_three2_pct,class_accuracy_two_up_pct,class_accuracy_two_up_inverted_pct
Q8,Q8_0,HaGRID balanced 19-class subset,336,19,20,380,380,0,0,247,65.0,0.6052073753823586,60.520737538235856,295,77.63157894736842,Merged peace+peace_inverted; stop+stop_inverted; two_up+two_up_inverted; three+three2. Palm and stop remain separate.,1.5830475657894738,1.561519,1.6907811,1.795832,1.542290660526316,0.040756905263157894,0.6316929583232674,0.6483862125306159,601.558075,1398.9926342105264,143.29802631578949,2.276315789473684,294,67,19,0,93.5764705882353,87.73109243697479,99,40.45546218487395,4.295798319327731,20.96638655462185,36,7485,7223.633613445378,7244,241,10.569721008403363,11.02,4.7243,1.7661947286394961,16.732371113426804,9.253579498367595,57.53000840336135,59.5,57.875,peace_inverted->peace:20; three2->peace:15; two_up->peace:15; stop_inverted->stop:14; palm->stop:9; two_up_inverted->two_up:9; three->peace:7; two_up_inverted->peace:6; three2->three:5; rock->peace:5,100.0,80.0,95.0,100.0,80.0,95.0,100.0,100.0,100.0,50.0,100.0,0.0,65.0,95.0,0.0,50.0,0.0,25.0,0.0
Q6,Q6_K,HaGRID balanced 19-class subset,336,19,20,380,380,0,0,245,64.47368421052632,0.600332008791958,60.0332008791958,294,77.36842105263158,Merged peace+peace_inverted; stop+stop_inverted; two_up+two_up_inverted; three+three2. Palm and stop remain separate.,1.8728525973684211,1.849657,1.9910657,2.102967,1.832565242105263,0.040287355263157895,0.5339448504410428,0.5456831642464164,711.683987,1675.720844736842,156.84439736842106,2.276315789473684,294,67,19,0,93.8022759601707,88.62019914651493,99,28.206258890469417,4.725462304409673,21.50213371266003,77,7485,6339.7951635846375,6427,1058,10.156907539118066,11.749,4.6073,2.0079190147305286,19.02239066586817,10.39359689401264,58.025995732574685,59.25,57.593,peace_inverted->peace:20; stop_inverted->stop:15; three2->peace:15; two_up->peace:15; palm->stop:10; two_up_inverted->two_up:9; three->peace:7; two_up_inverted->peace:5; three2->three:5; rock->peace:5,100.0,80.0,95.0,100.0,65.0,95.0,100.0,100.0,100.0,45.0,100.0,0.0,70.0,95.0,0.0,55.0,0.0,25.0,0.0
Q5,Q5_K_M,HaGRID balanced 19-class subset,336,19,20,380,380,0,0,247,65.0,0.6015518822949546,60.15518822949546,293,77.10526315789474,Merged peace+peace_inverted; stop+stop_inverted; two_up+two_up_inverted; three+three2. Palm and stop remain separate.,1.7665899605263158,1.7446774999999999,1.8944816,1.961996,1.7258804,0.04070956052631577,0.5660623134652438,0.5794144252405902,671.304185,1588.3544184210527,137.52598157894738,2.305263157894737,289,66,25,0,93.4947209653092,87.63197586726999,99,27.20814479638009,4.378582202111614,21.822021116138764,78,7485,5964.8657616892915,6006,1479,9.741993966817496,11.395,4.628444444444444,1.8166225889359267,17.210108737287726,9.033545248878372,57.57089894419306,58.437,56.843,peace_inverted->peace:20; three2->peace:15; two_up->peace:15; stop_inverted->stop:13; palm->stop:9; two_up_inverted->two_up:8; stop_inverted->no_gesture:7; three->peace:6; two_up_inverted->peace:5; three2->three:5,100.0,80.0,95.0,100.0,80.0,95.0,100.0,95.0,100.0,50.0,100.0,0.0,65.0,95.0,0.0,55.0,0.0,25.0,0.0
Q4,Q4_K_M,HaGRID balanced 19-class subset,336,19,20,380,380,0,0,233,61.31578947368421,0.5691591238765129,56.91591238765129,279,73.42105263157895,Merged peace+peace_inverted; stop+stop_inverted; two_up+two_up_inverted; three+three2. Palm and stop remain separate.,1.6845885263157896,1.670823,1.78683355,1.965851,1.643932102631579,0.040656423684210526,0.5936167701361525,0.6082976288371136,640.14364,1520.2071078947367,123.7249947368421,2.2394736842105263,309,52,18,1,93.60663507109005,88.15165876777252,99,25.398104265402843,4.490258030542391,21.73775671406003,63,7485,5632.124802527646,5654,1831,9.558451816745656,10.666,4.5658,1.6996617052044938,16.102058259832045,8.410563966379412,57.4273570300158,58.312,56.781,peace_inverted->peace:20; two_up->peace:18; palm->stop:18; stop_inverted->stop:17; three2->peace:16; two_up_inverted->peace:8; three->peace:8; rock->peace:6; two_up_inverted->two_up:5; four->stop:4,100.0,75.0,95.0,100.0,70.0,95.0,100.0,95.0,100.0,10.0,100.0,0.0,65.0,95.0,0.0,50.0,0.0,10.0,5.0
Q3,Q3_K_M,HaGRID balanced 19-class subset,336,19,20,380,380,0,0,239,62.89473684210526,0.5810057837943564,58.10057837943564,282,74.21052631578948,Merged peace+peace_inverted; stop+stop_inverted; two_up+two_up_inverted; three+three2. Palm and stop remain separate.,1.859770502631579,1.8403725,1.9826760499999998,2.100136,1.819314010526316,0.04045649210526318,0.5377007531762644,0.5496577249524431,706.712791,1658.895586842105,160.41842368421052,2.236842105263158,304,62,14,0,95.08882521489971,90.40114613180516,100,20.316618911174785,4.492120343839542,21.06160458452722,64,7485,5274.256446991404,5290,2195,9.257988538681948,10.272,4.617411764705883,1.8174274775605366,17.217733997941924,8.630407799437897,56.87687679083094,57.781,56.312,peace_inverted->peace:20; three2->peace:16; two_up->peace:15; palm->stop:14; stop_inverted->stop:13; three->peace:8; two_up_inverted->two_up:8; two_up_inverted->peace:6; stop_inverted->peace:6; rock->peace:5,100.0,70.0,95.0,100.0,90.0,95.0,100.0,100.0,100.0,15.0,100.0,0.0,70.0,95.0,0.0,40.0,0.0,25.0,0.0
